snippets|{"l":["p:0-day-analytics:100"]}
actionscheduler_actions|{"l":["p:admin-optimizer:100"]}
actionscheduler_logs|{"l":["p:admin-optimizer:100"]}
actionscheduler_claims|{"l":["p:admin-optimizer:100"]}
actionscheduler_groups|{"l":["p:admin-optimizer:100"]}
woocommerce_log|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_formbuilder_entry_meta|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_formbuilder_fields|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_email_delivery|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_formbuilder_entries|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_formbuilder_forms|{"l":["p:admin-site-enhancements-pro:100"]}
asenha_failed_logins|{"l":["p:admin-site-enhancements-pro:100"]}
bp_activity|{"l":["p:buddypress:100"]}
bp_activity_meta|{"l":["p:buddypress:100"]}
bp_notifications|{"l":["p:buddypress:100"]}
bp_friends|{"l":["p:buddypress:100"]}
bp_optouts|{"l":["p:buddypress:100"]}
bp_notifications_meta|{"l":["p:buddypress:100"]}
bp_messages_meta|{"l":["p:buddypress:100"]}
bp_xprofile_meta|{"l":["p:buddypress:100"]}
bp_xprofile_groups|{"l":["p:buddypress:100"]}
bp_xprofile_data|{"l":["p:buddypress:100"]}
bp_messages_notices|{"l":["p:buddypress:100"]}
bp_messages_messages|{"l":["p:buddypress:100"]}
bp_messages_recipients|{"l":["p:buddypress:100"]}
bp_invitations|{"l":["p:buddypress:100"]}
bp_xprofile_fields|{"l":["p:buddypress:100"]}
db7_forms|{"l":["p:contact-form-cfdb7:100"]}
fsmpt_email_logs|{"l":["p:fluent-smtp:100"]}
wc_orders|{"l":["p:index-wp-mysql-for-speed:100"]}
litespeed_crawler|{"l":["p:litespeed-cache:100"]}
litespeed_avatar|{"l":["p:litespeed-cache:100"]}
litespeed_url_file|{"l":["p:litespeed-cache:100"]}
litespeed_crawler_blacklist|{"l":["p:litespeed-cache:100"]}
litespeed_img_optming|{"l":["p:litespeed-cache:100"]}
litespeed_url|{"l":["p:litespeed-cache:100"]}
plugin_notes_plus|{"l":["p:plugin-notes-plus:100"]}
revslider_static_slides|{"l":["p:revslider:100"]}
revslider_sliders|{"l":["p:revslider:100"]}
revslider_slides|{"l":["p:revslider:100"]}
revslider_navigations|{"l":["p:revslider:100"]}
revslider_css|{"l":["p:revslider:100"]}
revslider_layer_animations|{"l":["p:revslider:100"]}
woocommerce_sessions|{"l":["p:updraftplus:100"]}
wffilemods|{"l":["p:updraftplus:100"]}
wfblockediplog|{"l":["p:updraftplus:100"]}
wfhits|{"l":["p:updraftplus:100"]}
woocommerce_order_items|{"l":["p:updraftplus:100"]}
woocommerce_api_keys|{"l":["p:woocommerce:100"]}
woocommerce_attribute_taxonomies|{"l":["p:woocommerce:100"]}
wc_product_meta_lookup|{"l":["p:woocommerce:100"]}
woocommerce_tax_rates|{"l":["p:woocommerce:100"]}
woocommerce_downloadable_product_permissions|{"l":["p:woocommerce:100"]}
woocommerce_shipping_zone_methods|{"l":["p:woocommerce:100"]}
woocommerce_shipping_zone_locations|{"l":["p:woocommerce:100"]}
wc_tax_rate_classes|{"l":["p:woocommerce:100"]}
wc_order_addresses|{"l":["p:woocommerce:100"]}
wc_admin_note_actions|{"l":["p:woocommerce:100"]}
wc_reserved_stock|{"l":["p:woocommerce:100"]}
woocommerce_payment_tokenmeta|{"l":["p:woocommerce:100"]}
wc_download_log|{"l":["p:woocommerce:100"]}
wc_product_attributes_lookup|{"l":["p:woocommerce:100"]}
wc_order_tax_lookup|{"l":["p:woocommerce:100"]}
wc_admin_notes|{"l":["p:woocommerce:100"]}
wc_order_product_lookup|{"l":["p:woocommerce:100"]}
wc_order_stats|{"l":["p:woocommerce:100"]}
wc_product_download_directories|{"l":["p:woocommerce:100"]}
woocommerce_payment_tokens|{"l":["p:woocommerce:100"]}
wc_customer_lookup|{"l":["p:woocommerce:100"]}
wc_order_operational_data|{"l":["p:woocommerce:100"]}
wc_rate_limits|{"l":["p:woocommerce:100"]}
woocommerce_shipping_zones|{"l":["p:woocommerce:100"]}
wc_webhooks|{"l":["p:woocommerce:100"]}
wc_category_lookup|{"l":["p:woocommerce:100"]}
wc_order_coupon_lookup|{"l":["p:woocommerce:100"]}
woocommerce_tax_rate_locations|{"l":["p:woocommerce:100"]}
wpcode_revisions|{"l":["p:wpcode-premium:100"]}
wfblocks7|{"l":["p:updraftplus:77.78"]}
rank_math_internal_meta|{"l":["p:admin-site-enhancements-pro:43.48"]}
am_ab_tests|{"l":["p:sportspress-pro:45.45"]}
am_consent_log|{"l":["p:0-day-analytics:42.86"]}
pos_history|{"l":["p:buddypress:81.82"]}
aadvana_hooks_capture|{"l":["p:0-day-analytics:95.24"]}
wc_ukr_shipping_automation_actions|{"l":[]}
aadvana_hook_groups|{"l":["p:0-day-analytics:42.11"]}
wflocs|{"l":["p:advanced-custom-fields-pro:66.67"]}
cmplz_dnsmpd|{"l":["p:js_composer:35"]}
wftrafficrates|{"l":[]}
wpforms_tasks_meta|{"l":["p:google-site-kit:44.44"]}
wfconfig|{"l":["p:0-day-analytics:75"]}
aadvana_hooks_management|{"l":["p:0-day-analytics:35"]}
wpmailsmtp_tasks_meta|{"l":["p:fluent-smtp:47.62"]}
am_provider_performance|{"l":[]}
wfauditevents|{"l":[]}
aadvana_snippets|{"l":["p:0-day-analytics:93.75"]}
am_email_log|{"l":["p:admin-site-enhancements-pro:91.67"]}
post_smtp_logs|{"l":["p:0-day-analytics:71.43"]}
aadvana_requests_log|{"l":["p:0-day-analytics:45"]}
wpforms_payment_meta|{"l":["p:google-site-kit:40"]}
aadvana_wp_fatals_log|{"l":["p:0-day-analytics:38.1"]}
wc_ukr_shipping_np_warehouses|{"l":[]}
wfissues|{"l":["p:0-day-analytics:75"]}
rank_math_redirections_cache|{"l":["p:admin-site-enhancements-pro:35.71"]}
wc_ukr_shipping_labels|{"l":["p:woocommerce:72.73"]}
wc_ukr_shipping_np_areas|{"l":[]}
aadvana_wp_mail_log|{"l":["p:0-day-analytics:42.11"]}
wfcrawlers|{"l":["p:admin-optimizer:80"]}
am_notification_log|{"l":["p:0-day-analytics:84.21"]}
wfnotifications|{"l":["p:0-day-analytics:86.67"]}
am_email_health_scores|{"l":[]}
wc_ukr_shipping_automation_rules|{"l":[]}
wfreversecache|{"l":[]}
wpmailsmtp_debug_events|{"l":["p:fluent-smtp:43.48"]}
cmplz_services|{"l":["p:js_composer:35"]}
wfhoover|{"l":["p:advanced-custom-fields-pro:75"]}
po_plugins|{"l":["p:0-day-analytics:90"]}
wflogins|{"l":["p:admin-menu-editor:75"]}
wffilechanges|{"l":["p:updraftplus:46.15"]}
